DateTime,Battery,F1_WS_100_0_A100L2/LK,F1_WS_100_0_A100L2/LK-STDev,F1_WS_100_0_A100L2/LK-Min,F1_WS_100_0_A100L2/LK-Max,F1_WS_100_0_A100L2/LK-TI30,F2_WS_100_180_A100L2/LK,F2_WS_100_180_A100L2/LK-STDev,F2_WS_100_180_A100L2/LK-Min,F2_WS_100_180_A100L2/LK-Max,F2_WS_100_180_A100L2/LK-TI30,F3_WS_80_180_A100L2/LK,F3_WS_80_180_A100L2/LK-STDev,F3_WS_80_180_A100L2/LK-Min,F3_WS_80_180_A100L2/LK-Max,F4_WS_50_180_A100L2/LK,F4_WS_50_180_A100L2/LK-STDev,F4_WS_50_180_A100L2/LK-Min,F4_WS_50_180_A100L2/LK-Max,F5_WS_10_180_A100L2/LK,F5_WS_10_180_A100L2/LK-STDev,F5_WS_10_180_A100L2/LK-Min,F5_WS_10_180_A100L2/LK-Max,A1_WD_98_0_200M,A1_WD_98_0_200M-STDev,A1_WD_98_0_200M-Min,A1_WD_98_0_200M-Max,A2_WD_78_0_200M,A2_WD_78_0_200M-STDev,A2_WD_78_0_200M-Min,A2_WD_78_0_200M-Max,A3_WD_48_0_200M,A3_WD_48_0_200M-STDev,A3_WD_48_0_200M-Min,A3_WD_48_0_200M-Max,A4_V_10_0_VOLTS,A4_V_10_0_VOLTS-STDev,A4_V_10_0_VOLTS-Min,A4_V_10_0_VOLTS-Max,A5_PR_10_0_Setra276_600-1100_12V,A5_PR_10_0_Setra276_600-1100_12V-STDev,A5_PR_10_0_Setra276_600-1100_12V-Min,A5_PR_10_0_Setra276_600-1100_12V-Max,A6_RAD_12_0_THERMOPILE,A6_RAD_12_0_THERMOPILE-STDev,A6_RAD_12_0_THERMOPILE-Min,A6_RAD_12_0_THERMOPILE-Max,A7_V_10_0_VOLTS,A7_V_10_0_VOLTS-STDev,A7_V_10_0_VOLTS-Min,A7_V_10_0_VOLTS-Max
2021-11-17 12:30,13.100,9.8270,0.79000,7.9000,11.960,0.044000,10.008,0.79600,8.1000,12.050,0.046000,9.4810,0.77600,7.3900,11.350,8.5770,0.96000,6.4800,11.440,5.8150,0.96500,3.6300,8.6900,29.180,3.5700,18.280,42.190,31.990,4.4900,16.880,42.190,22.850,5.2900,8.4400,37.970,28.213,0.093000,28.042,28.384,,0.10000,,,0.0000,0.0000,0.0000,0.0000,4.9990,0.0000,4.9990,4.9990
2021-11-17 12:40,13.100,10.013,0.59600,8.4100,11.150,0.044000,10.198,0.59500,8.6100,11.340,0.044000,9.4780,0.63900,7.6900,10.940,8.4330,0.77400,6.7800,10.230,5.5400,1.1190,2.7200,8.0900,30.940,4.3500,16.880,42.190,33.050,4.6300,16.880,45.000,23.910,6.1400,0.0000,43.590,27.917,0.079000,27.773,28.115,,0.10000,,,0.0000,0.0000,0.0000,0.0000,4.9990,0.0000,4.9990,4.9990
2021-11-17 12:50,13.100,10.288,0.61400,8.5100,11.560,0.044000,10.465,0.63000,8.9100,11.850,0.046000,9.7100,0.69600,8.0000,11.140,8.3130,0.85300,6.5800,10.530,5.4750,0.87800,3.3300,8.0900,33.050,3.6400,21.090,47.810,35.510,4.5400,19.690,46.410,26.370,5.8200,8.4400,47.810,27.699,0.075000,27.554,27.871,,0.10000,,,0.0000,0.0000,0.0000,0.0000,4.9990,0.0000,4.9990,4.9990
2021-11-17 13:00,13.000,10.285,0.64800,8.8100,11.960,0.036000,10.463,0.64700,8.9100,12.150,0.036000,9.7510,0.68000,8.1000,11.550,8.5420,0.93100,6.5800,11.140,5.9240,1.0850,3.7300,8.9000,30.230,3.1900,19.690,40.780,33.050,3.7300,21.090,45.000,22.850,5.5800,4.2200,40.780,27.476,0.071000,27.358,27.627,,0.10000,,,0.0000,0.0000,0.0000,0.0000,4.9990,0.0000,4.9990,4.9990
2021-11-17 13:10,13.000,10.007,0.69600,8.3100,11.860,0.046000,10.185,0.73200,8.3000,12.360,0.048000,9.4700,0.75500,7.7900,11.860,8.4300,0.86000,6.5800,10.940,5.7010,0.91900,3.6300,8.3900,31.640,3.6300,19.690,43.590,34.100,4.5700,19.690,46.410,24.610,5.6000,7.0300,37.970,27.256,0.071000,27.163,27.432,,0.10000,,,0.0000,0.0000,0.0000,0.0000,4.9990,0.0000,4.9990,4.9990
2021-11-17 13:20,13.000,10.703,0.57700,9.4200,12.060,0.044000,10.860,0.60400,9.6200,12.260,0.044000,9.9230,0.64800,8.4000,11.750,8.7190,0.92600,6.7800,10.740,5.9130,1.0390,3.8300,8.7900,34.450,3.3700,23.910,43.590,36.910,4.0200,23.910,47.810,27.420,5.3900,5.6300,42.190,27.131,0.061000,27.017,27.261,,0.10000,,,0.0000,0.0000,0.0000,0.0000,4.9990,0.0000,4.9990,4.9990
2021-11-17 13:30,13.000,10.528,0.61400,8.9200,12.060,0.048000,10.667,0.66300,8.8100,12.360,0.051000,9.6770,0.70400,7.4900,11.450,8.6890,0.77400,6.5800,10.630,5.8180,0.94800,3.9300,8.1900,36.910,3.8300,26.720,61.880,40.080,5.0400,25.310,64.690,29.880,5.9800,8.4400,67.500,26.983,0.071000,26.895,27.139,,0.10000,,,0.0000,0.0000,0.0000,0.0000,4.9990,0.0000,4.9990,4.9990
2021-11-17 13:40,13.000,10.766,0.70300,8.7100,12.270,0.050000,10.904,0.74700,8.8100,12.560,0.053000,10.065,0.80400,8.1000,12.060,9.0050,0.93100,6.4800,11.440,5.8910,0.93100,4.0400,8.4900,36.560,3.8000,21.090,56.250,38.670,4.4900,26.720,59.060,28.480,5.7500,1.4100,50.630,26.983,0.050000,26.919,27.090,,0.10000,,,0.0000,0.0000,0.0000,0.0000,4.9990,0.0000,4.9990,4.9990
2021-11-17 13:50,13.000,10.755,0.69600,7.7000,12.570,0.046000,10.931,0.71000,7.6900,12.760,0.046000,9.8110,0.89200,7.1800,12.360,8.7110,0.82100,6.3800,11.440,5.9400,0.82700,4.2400,7.9800,36.560,3.4400,25.310,53.440,40.080,5.6300,25.310,70.310,29.180,5.7200,9.8400,50.630,26.934,0.043000,26.870,27.017,,0.10000,,,0.0000,0.0000,0.0000,0.0000,4.9990,0.0000,4.9990,4.9990
2021-11-17 14:00,13.000,10.916,0.77600,8.0000,12.570,0.059000,11.013,0.84100,7.9000,12.760,0.065000,9.7870,1.0320,6.9800,11.960,9.0070,0.84700,7.1900,10.740,6.1530,0.97000,3.8300,8.1900,39.380,4.7800,23.910,70.310,42.890,6.9800,23.910,73.130,31.640,6.0900,15.470,53.440,26.841,0.061000,26.748,26.992,,0.10000,,,0.0000,0.0000,0.0000,0.0000,4.9990,0.0000,4.9990,4.9990
