DateTime,Battery,F1_WS_100_0_A100L2/LK,F1_WS_100_0_A100L2/LK-STDev,F1_WS_100_0_A100L2/LK-Min,F1_WS_100_0_A100L2/LK-Max,F1_WS_100_0_A100L2/LK-TI30,F2_WS_100_180_A100L2/LK,F2_WS_100_180_A100L2/LK-STDev,F2_WS_100_180_A100L2/LK-Min,F2_WS_100_180_A100L2/LK-Max,F2_WS_100_180_A100L2/LK-TI30,F3_WS_80_180_A100L2/LK,F3_WS_80_180_A100L2/LK-STDev,F3_WS_80_180_A100L2/LK-Min,F3_WS_80_180_A100L2/LK-Max,F4_WS_50_180_A100L2/LK,F4_WS_50_180_A100L2/LK-STDev,F4_WS_50_180_A100L2/LK-Min,F4_WS_50_180_A100L2/LK-Max,F5_WS_10_180_A100L2/LK,F5_WS_10_180_A100L2/LK-STDev,F5_WS_10_180_A100L2/LK-Min,F5_WS_10_180_A100L2/LK-Max,A1_WD_98_0_200M,A1_WD_98_0_200M-STDev,A1_WD_98_0_200M-Min,A1_WD_98_0_200M-Max,A2_WD_78_0_200M,A2_WD_78_0_200M-STDev,A2_WD_78_0_200M-Min,A2_WD_78_0_200M-Max,A3_WD_48_0_200M,A3_WD_48_0_200M-STDev,A3_WD_48_0_200M-Min,A3_WD_48_0_200M-Max,A4_V_10_0_VOLTS,A4_V_10_0_VOLTS-STDev,A4_V_10_0_VOLTS-Min,A4_V_10_0_VOLTS-Max,A5_PR_10_0_Setra276_600-1100_12V,A5_PR_10_0_Setra276_600-1100_12V-STDev,A5_PR_10_0_Setra276_600-1100_12V-Min,A5_PR_10_0_Setra276_600-1100_12V-Max,A6_RAD_12_0_THERMOPILE,A6_RAD_12_0_THERMOPILE-STDev,A6_RAD_12_0_THERMOPILE-Min,A6_RAD_12_0_THERMOPILE-Max,A7_V_10_0_VOLTS,A7_V_10_0_VOLTS-STDev,A7_V_10_0_VOLTS-Min,A7_V_10_0_VOLTS-Max
2021-11-15 12:30,12.800,0.18400,0.0000,0.0000,0.0000,0.0000,0.19000,0.0000,0.0000,0.0000,0.0000,0.17800,0.0000,0.0000,0.0000,0.20000,0.0000,0.0000,0.0000,0.18800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,17.373,21.212,-40.000,59.976,945.80,137.50,600.00,,11.400,163.80,0.0000,,0.0000,0.0000,0.0000,0.0000
2021-11-16 06:00,12.800,0.18400,0.0000,0.0000,0.0000,0.0000,0.19000,0.0000,0.0000,0.0000,0.0000,0.17800,0.0000,0.0000,0.0000,0.20000,0.0000,0.0000,0.0000,0.18800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-40.000,0.0000,-40.000,-40.000,600.00,0.0000,600.00,600.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2021-11-16 06:10,12.800,0.18400,0.0000,0.0000,0.0000,0.0000,0.19000,0.0000,0.0000,0.0000,0.0000,0.17800,0.0000,0.0000,0.0000,0.20000,0.0000,0.0000,0.0000,0.18800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-40.000,0.0000,-40.000,-40.000,600.00,0.0000,600.00,600.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2021-11-16 06:20,12.800,0.18400,0.0000,0.0000,0.0000,0.0000,0.19000,0.0000,0.0000,0.0000,0.0000,0.17800,0.0000,0.0000,0.0000,0.20000,0.0000,0.0000,0.0000,0.18800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-40.000,0.0000,-40.000,-40.000,600.00,0.0000,600.00,600.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2021-11-16 06:30,12.800,0.18400,0.0000,0.0000,0.0000,0.0000,0.19000,0.0000,0.0000,0.0000,0.0000,0.17800,0.0000,0.0000,0.0000,0.20000,0.0000,0.0000,0.0000,0.18800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-39.991,0.0000,-40.000,-39.991,600.00,0.0000,600.00,600.00,0.10000,0.0000,0.0000,0.10000,0.0010000,0.0000,0.0000,0.0010000
2021-11-16 06:40,12.800,0.18400,0.0000,0.0000,0.0000,0.0000,0.19000,0.0000,0.0000,0.0000,0.0000,0.17800,0.0000,0.0000,0.0000,0.20000,0.0000,0.0000,0.0000,0.18800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-39.991,0.0000,-40.000,-39.991,600.00,0.0000,600.00,600.00,0.10000,0.0000,0.0000,0.10000,0.0010000,0.0000,0.0000,0.0010000
2021-11-16 06:50,12.800,0.18400,0.0000,0.0000,0.0000,0.0000,0.19000,0.0000,0.0000,0.0000,0.0000,0.17800,0.0000,0.0000,0.0000,0.20000,0.0000,0.0000,0.0000,0.18800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-39.991,0.0000,-40.000,-39.991,600.00,0.0000,600.00,600.00,0.10000,0.0000,0.0000,0.10000,0.0010000,0.0000,0.0000,0.0010000
2021-11-16 07:00,12.800,0.18400,0.0000,0.0000,0.0000,0.0000,0.19000,0.0000,0.0000,0.0000,0.0000,0.17800,0.0000,0.0000,0.0000,0.20000,0.0000,0.0000,0.0000,0.18800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-39.991,0.0000,-40.000,-39.991,600.00,0.0000,600.00,600.00,0.10000,0.0000,0.0000,0.10000,0.0010000,0.0000,0.0000,0.0010000
2021-11-16 07:10,12.800,0.18400,0.0000,0.0000,0.0000,0.0000,0.19000,0.0000,0.0000,0.0000,0.0000,0.17800,0.0000,0.0000,0.0000,0.20000,0.0000,0.0000,0.0000,0.18800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-39.991,0.0000,-40.000,-39.991,600.00,0.0000,600.00,600.00,0.10000,0.0000,0.0000,0.10000,0.0010000,0.0000,0.0000,0.0010000
2021-11-16 07:20,12.800,0.18400,0.0000,0.0000,0.0000,0.0000,0.19000,0.0000,0.0000,0.0000,0.0000,0.17800,0.0000,0.0000,0.0000,0.20000,0.0000,0.0000,0.0000,0.18800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-39.991,0.0000,-40.000,-39.991,600.00,0.0000,600.00,600.00,0.10000,0.0000,0.0000,0.10000,0.0010000,0.0000,0.0000,0.0010000
